FontFamilyName, FontSize, Width, dpiX, dpiY
Aptos Light, 5, 4, 96, 96
Aptos Light, 6, 4, 96, 96
Aptos Light, 7, 5, 96, 96
Aptos Light, 8, 6, 96, 96
Aptos Light, 9, 6, 96, 96
Aptos Light, 10, 7, 96, 96
Aptos Light, 11, 8, 96, 96
Aptos Light, 12, 9, 96, 96
Aptos Light, 13, 9, 96, 96
Aptos Light, 14, 10, 96, 96
Aptos Light, 15, 11, 96, 96
Aptos Light, 16, 11, 96, 96
Aptos Light, 17, 12, 96, 96
Aptos Light, 18, 13, 96, 96
Aptos Light, 19, 14, 96, 96
Aptos Light, 20, 14, 96, 96
Aptos Light, 21, 15, 96, 96
Aptos Light, 22, 16, 96, 96
Aptos Light, 23, 16, 96, 96
Aptos Light, 24, 17, 96, 96
Aptos Light, 25, 18, 96, 96
Aptos Mono, 2, 2, 96, 96
Aptos Mono, 3, 2, 96, 96
Aptos Mono, 4, 3, 96, 96
Aptos Mono, 5, 4, 96, 96
Aptos Mono, 6, 5, 96, 96
Aptos Mono, 7, 6, 96, 96
Aptos Mono, 8, 6, 96, 96
Aptos Mono, 9, 7, 96, 96
Aptos Mono, 10, 8, 96, 96
Aptos Mono, 11, 9, 96, 96
Aptos Mono, 12, 10, 96, 96
Aptos Mono, 13, 10, 96, 96
Aptos Mono, 14, 11, 96, 96
Aptos Mono, 15, 12, 96, 96
Aptos Mono, 16, 13, 96, 96
Aptos Mono, 17, 14, 96, 96
Aptos Mono, 18, 14, 96, 96
Aptos Mono, 19, 15, 96, 96
Aptos Mono, 20, 16, 96, 96
Aptos Mono, 21, 17, 96, 96
Aptos Mono, 22, 18, 96, 96
Aptos Mono, 23, 18, 96, 96
Aptos Mono, 24, 19, 96, 96
Aptos Mono, 25, 20, 96, 96
Aptos Narrow, 2, 1, 96, 96
Aptos Narrow, 3, 2, 96, 96
Aptos Narrow, 4, 3, 96, 96
Aptos Narrow, 5, 3, 96, 96
Aptos Narrow, 6, 4, 96, 96
Aptos Narrow, 7, 5, 96, 96
Aptos Narrow, 8, 5, 96, 96
Aptos Narrow, 9, 6, 96, 96
Aptos Narrow, 10, 7, 96, 96
Aptos Narrow, 11, 7, 96, 96
Aptos Narrow, 12, 8, 96, 96
Aptos Narrow, 13, 9, 96, 96
Aptos Narrow, 14, 9, 96, 96
Aptos Narrow, 15, 10, 96, 96
Aptos Narrow, 16, 11, 96, 96
Aptos Narrow, 17, 11, 96, 96
Aptos Narrow, 18, 12, 96, 96
Aptos Narrow, 19, 13, 96, 96
Aptos Narrow, 20, 14, 96, 96
Aptos Narrow, 21, 14, 96, 96
Aptos Narrow, 22, 15, 96, 96
Aptos Narrow, 23, 16, 96, 96
Aptos Narrow, 24, 16, 96, 96
Aptos Narrow, 25, 17, 96, 96
Aptos SemiBold, 2, 1, 96, 96
Aptos SemiBold, 3, 2, 96, 96
Aptos SemiBold, 4, 3, 96, 96
Aptos SemiBold, 5, 4, 96, 96
Aptos SemiBold, 6, 4, 96, 96
Aptos SemiBold, 7, 5, 96, 96
Aptos SemiBold, 8, 6, 96, 96
Aptos SemiBold, 9, 6, 96, 96
Aptos SemiBold, 10, 7, 96, 96
Aptos SemiBold, 11, 8, 96, 96
Aptos SemiBold, 12, 9, 96, 96
Aptos SemiBold, 13, 9, 96, 96
Aptos SemiBold, 14, 10, 96, 96
Aptos SemiBold, 15, 11, 96, 96
Aptos SemiBold, 16, 11, 96, 96
Aptos SemiBold, 17, 12, 96, 96
Aptos SemiBold, 18, 13, 96, 96
Aptos SemiBold, 19, 14, 96, 96
Aptos SemiBold, 20, 14, 96, 96
Aptos SemiBold, 21, 15, 96, 96
Aptos SemiBold, 22, 16, 96, 96
Aptos SemiBold, 23, 16, 96, 96
Aptos SemiBold, 24, 17, 96, 96
Aptos SemiBold, 25, 18, 96, 96
Aptos Serif, 2, 1, 96, 96
Aptos Serif, 3, 2, 96, 96
Aptos Serif, 4, 3, 96, 96
Aptos Serif, 5, 4, 96, 96
Aptos Serif, 6, 4, 96, 96
Aptos Serif, 7, 5, 96, 96
Aptos Serif, 8, 6, 96, 96
Aptos Serif, 9, 7, 96, 96
Aptos Serif, 10, 7, 96, 96
Aptos Serif, 11, 8, 96, 96
Aptos Serif, 12, 9, 96, 96
Aptos Serif, 13, 9, 96, 96
Aptos Serif, 14, 10, 96, 96
Aptos Serif, 15, 11, 96, 96
Aptos Serif, 16, 12, 96, 96
Aptos Serif, 17, 12, 96, 96
Aptos Serif, 18, 13, 96, 96
Aptos Serif, 19, 14, 96, 96
Aptos Serif, 20, 15, 96, 96
Aptos Serif, 21, 15, 96, 96
Aptos Serif, 22, 16, 96, 96
Aptos Serif, 23, 17, 96, 96
Aptos Serif, 24, 17, 96, 96
Aptos Serif, 25, 18, 96, 96
Arial, 2, 1, 96, 96
Arial, 3, 2, 96, 96
Arial, 4, 3, 96, 96
Arial, 5, 4, 96, 96
Arial, 6, 4, 96, 96
Arial, 7, 5, 96, 96
Arial, 8, 6, 96, 96
Arial, 9, 7, 96, 96
Arial, 10, 7, 96, 96
Arial, 11, 8, 96, 96
Arial, 12, 9, 96, 96
Arial, 13, 10, 96, 96
Arial, 14, 10, 96, 96
Arial, 15, 11, 96, 96
Arial, 16, 12, 96, 96
Arial, 17, 13, 96, 96
Arial, 18, 13, 96, 96
Arial, 19, 14, 96, 96
Arial, 20, 15, 96, 96
Arial, 21, 16, 96, 96
Arial, 22, 16, 96, 96
Arial, 23, 17, 96, 96
Arial, 24, 18, 96, 96
Arial, 25, 19, 96, 96
Arial Black, 2, 2, 96, 96
Arial Black, 3, 3, 96, 96
Arial Black, 4, 4, 96, 96
Arial Black, 5, 4, 96, 96
Arial Black, 6, 5, 96, 96
Arial Black, 7, 6, 96, 96
Arial Black, 8, 7, 96, 96
Arial Black, 9, 8, 96, 96
Arial Black, 10, 9, 96, 96
Arial Black, 11, 10, 96, 96
Arial Black, 12, 11, 96, 96
Arial Black, 13, 12, 96, 96
Arial Black, 14, 12, 96, 96
Arial Black, 15, 13, 96, 96
Arial Black, 16, 14, 96, 96
Arial Black, 17, 15, 96, 96
Arial Black, 18, 16, 96, 96
Arial Black, 19, 17, 96, 96
Arial Black, 20, 18, 96, 96
Arial Black, 21, 19, 96, 96
Arial Black, 22, 20, 96, 96
Arial Black, 23, 20, 96, 96
Arial Black, 24, 21, 96, 96
Arial Black, 25, 22, 96, 96
Arial Narrow, 2, 1, 96, 96
Arial Narrow, 3, 2, 96, 96
Arial Narrow, 4, 2, 96, 96
Arial Narrow, 5, 3, 96, 96
Arial Narrow, 6, 4, 96, 96
Arial Narrow, 7, 4, 96, 96
Arial Narrow, 8, 5, 96, 96
Arial Narrow, 9, 5, 96, 96
Arial Narrow, 10, 6, 96, 96
Arial Narrow, 11, 7, 96, 96
Arial Narrow, 12, 7, 96, 96
Arial Narrow, 13, 8, 96, 96
Arial Narrow, 14, 9, 96, 96
Arial Narrow, 15, 9, 96, 96
Arial Narrow, 16, 10, 96, 96
Arial Narrow, 17, 10, 96, 96
Arial Narrow, 18, 11, 96, 96
Arial Narrow, 19, 12, 96, 96
Arial Narrow, 20, 12, 96, 96
Arial Narrow, 21, 13, 96, 96
Arial Narrow, 22, 13, 96, 96
Arial Narrow, 23, 14, 96, 96
Arial Narrow, 24, 15, 96, 96
Arial Narrow, 25, 15, 96, 96
Arial Rounded MT Bold, 2, 2, 96, 96
Arial Rounded MT Bold, 3, 2, 96, 96
Arial Rounded MT Bold, 4, 3, 96, 96
Arial Rounded MT Bold, 5, 4, 96, 96
Arial Rounded MT Bold, 6, 5, 96, 96
Arial Rounded MT Bold, 7, 6, 96, 96
Arial Rounded MT Bold, 8, 6, 96, 96
Arial Rounded MT Bold, 9, 7, 96, 96
Arial Rounded MT Bold, 10, 8, 96, 96
Arial Rounded MT Bold, 11, 9, 96, 96
Arial Rounded MT Bold, 12, 10, 96, 96
Arial Rounded MT Bold, 13, 10, 96, 96
Arial Rounded MT Bold, 14, 11, 96, 96
Arial Rounded MT Bold, 15, 12, 96, 96
Arial Rounded MT Bold, 16, 13, 96, 96
Arial Rounded MT Bold, 17, 13, 96, 96
Arial Rounded MT Bold, 18, 14, 96, 96
Arial Rounded MT Bold, 19, 15, 96, 96
Arial Rounded MT Bold, 20, 16, 96, 96
Arial Rounded MT Bold, 21, 17, 96, 96
Arial Rounded MT Bold, 22, 17, 96, 96
Arial Rounded MT Bold, 23, 18, 96, 96
Arial Rounded MT Bold, 24, 19, 96, 96
Arial Rounded MT Bold, 25, 20, 96, 96
Bahnschrift, 2, 1, 96, 96
Bahnschrift, 3, 2, 96, 96
Bahnschrift, 4, 3, 96, 96
Bahnschrift, 5, 4, 96, 96
Bahnschrift, 6, 4, 96, 96
Bahnschrift, 7, 5, 96, 96
Bahnschrift, 8, 6, 96, 96
Bahnschrift, 9, 7, 96, 96
Bahnschrift, 10, 7, 96, 96
Bahnschrift, 11, 8, 96, 96
Bahnschrift, 12, 9, 96, 96
Bahnschrift, 13, 10, 96, 96
Bahnschrift, 14, 10, 96, 96
Bahnschrift, 15, 11, 96, 96
Bahnschrift, 16, 12, 96, 96
Bahnschrift, 17, 13, 96, 96
Bahnschrift, 18, 13, 96, 96
Bahnschrift, 19, 14, 96, 96
Bahnschrift, 20, 15, 96, 96
Bahnschrift, 21, 15, 96, 96
Bahnschrift, 22, 16, 96, 96
Bahnschrift, 23, 17, 96, 96
Bahnschrift, 24, 18, 96, 96
Bahnschrift, 25, 18, 96, 96
Bahnschrift Condensed, 2, 1, 96, 96
Bahnschrift Condensed, 3, 2, 96, 96
Bahnschrift Condensed, 4, 2, 96, 96
Bahnschrift Condensed, 5, 3, 96, 96
Bahnschrift Condensed, 6, 3, 96, 96
Bahnschrift Condensed, 7, 4, 96, 96
Bahnschrift Condensed, 8, 4, 96, 96
Bahnschrift Condensed, 9, 5, 96, 96
Bahnschrift Condensed, 10, 6, 96, 96
Bahnschrift Condensed, 11, 6, 96, 96
Bahnschrift Condensed, 12, 7, 96, 96
Bahnschrift Condensed, 13, 7, 96, 96
Bahnschrift Condensed, 14, 8, 96, 96
Bahnschrift Condensed, 15, 8, 96, 96
Bahnschrift Condensed, 16, 9, 96, 96
Bahnschrift Condensed, 17, 9, 96, 96
Bahnschrift Condensed, 18, 10, 96, 96
Bahnschrift Condensed, 19, 11, 96, 96
Bahnschrift Condensed, 20, 11, 96, 96
Bahnschrift Condensed, 21, 12, 96, 96
Bahnschrift Condensed, 22, 12, 96, 96
Bahnschrift Condensed, 23, 13, 96, 96
Bahnschrift Condensed, 24, 13, 96, 96
Bahnschrift Condensed, 25, 14, 96, 96
Bahnschrift Light, 2, 1, 96, 96
Bahnschrift Light, 3, 2, 96, 96
Bahnschrift Light, 4, 3, 96, 96
Bahnschrift Light, 5, 4, 96, 96
Bahnschrift Light, 6, 4, 96, 96
Bahnschrift Light, 7, 5, 96, 96
Bahnschrift Light, 8, 6, 96, 96
Bahnschrift Light, 9, 7, 96, 96
Bahnschrift Light, 10, 7, 96, 96
Bahnschrift Light, 11, 8, 96, 96
Bahnschrift Light, 12, 9, 96, 96
Bahnschrift Light, 13, 10, 96, 96
Bahnschrift Light, 14, 10, 96, 96
Bahnschrift Light, 15, 11, 96, 96
Bahnschrift Light, 16, 12, 96, 96
Bahnschrift Light, 17, 13, 96, 96
Bahnschrift Light, 18, 13, 96, 96
Bahnschrift Light, 19, 14, 96, 96
Bahnschrift Light, 20, 15, 96, 96
Bahnschrift Light, 21, 15, 96, 96
Bahnschrift Light, 22, 16, 96, 96
Bahnschrift Light, 23, 17, 96, 96
Bahnschrift Light, 24, 18, 96, 96
Bahnschrift Light, 25, 18, 96, 96
Bahnschrift Light Condensed, 2, 1, 96, 96
Bahnschrift Light Condensed, 3, 2, 96, 96
Bahnschrift Light Condensed, 4, 2, 96, 96
Bahnschrift Light Condensed, 5, 3, 96, 96
Bahnschrift Light Condensed, 6, 3, 96, 96
Bahnschrift Light Condensed, 7, 4, 96, 96
Bahnschrift Light Condensed, 8, 4, 96, 96
Bahnschrift Light Condensed, 9, 5, 96, 96
Bahnschrift Light Condensed, 10, 6, 96, 96
Bahnschrift Light Condensed, 11, 6, 96, 96
Bahnschrift Light Condensed, 12, 7, 96, 96
Bahnschrift Light Condensed, 13, 7, 96, 96
Bahnschrift Light Condensed, 14, 8, 96, 96
Bahnschrift Light Condensed, 15, 8, 96, 96
Bahnschrift Light Condensed, 16, 9, 96, 96
Bahnschrift Light Condensed, 17, 9, 96, 96
Bahnschrift Light Condensed, 18, 10, 96, 96
Bahnschrift Light Condensed, 19, 11, 96, 96
Bahnschrift Light Condensed, 20, 11, 96, 96
Bahnschrift Light Condensed, 21, 12, 96, 96
Bahnschrift Light Condensed, 22, 12, 96, 96
Bahnschrift Light Condensed, 23, 13, 96, 96
Bahnschrift Light Condensed, 24, 13, 96, 96
Bahnschrift Light Condensed, 25, 14, 96, 96
Bahnschrift Light SemiCondensed, 2, 1, 96, 96
Bahnschrift Light SemiCondensed, 3, 2, 96, 96
Bahnschrift Light SemiCondensed, 4, 3, 96, 96
